date,S,K,tau,r,q,price,expiry,days,moneyness,session
2026-03-18,657.9335327148438,620.0,0.0821917808219178,0.03609999895095825,-0.05,52.585,2026-04-17,30,0.061183117282006046,in
2026-03-18,657.9335327148438,635.0,0.0821917808219178,0.03609999895095825,-0.05,39.7,2026-04-17,30,0.03611579955093504,in
2026-03-18,657.9335327148438,642.0,0.0821917808219178,0.03609999895095825,-0.05,33.88,2026-04-17,30,0.024818586783245715,in
2026-03-18,657.9335327148438,648.0,0.0821917808219178,0.03609999895095825,-0.05,29.145,2026-04-17,30,0.01532952579451196,in
2026-03-18,657.9335327148438,655.0,0.0821917808219178,0.03609999895095825,-0.05,23.925,2026-04-17,30,0.004478675900524809,in
2026-03-18,657.9335327148438,661.0,0.0821917808219178,0.03609999895095825,-0.05,19.645000000000003,2026-04-17,30,-0.004639133563020046,in
2026-03-18,657.9335327148438,668.0,0.0821917808219178,0.03609999895095825,-0.05,14.985,2026-04-17,30,-0.015069561804126122,in
2026-03-18,657.9335327148438,675.0,0.0821917808219178,0.03609999895095825,-0.05,10.86,2026-04-17,30,-0.02528365523726852,in
2026-03-18,657.9335327148438,681.0,0.0821917808219178,0.03609999895095825,-0.05,7.68,2026-04-17,30,-0.0338714644422265,in
2026-03-18,657.9335327148438,688.0,0.0821917808219178,0.03609999895095825,-0.05,4.715,2026-04-17,30,-0.0437012605888899,in
2026-03-18,657.9335327148438,701.0,0.0821917808219178,0.03609999895095825,-0.05,1.37,2026-04-17,30,-0.06143575932261947,in
2026-03-18,657.9335327148438,714.0,0.0821917808219178,0.03609999895095825,-0.05,0.305,2026-04-17,30,-0.07852446398481268,in
2026-03-18,657.9335327148438,728.0,0.0821917808219178,0.03609999895095825,-0.05,0.08499999999999999,2026-04-17,30,-0.09624514736972012,in
2026-03-18,657.9335327148438,610.0,0.1178082191780822,0.03609999895095825,-0.05,64.015,2026-04-30,43,0.0785795618276127,in
2026-03-18,657.9335327148438,622.0,0.1178082191780822,0.03609999895095825,-0.05,53.575,2026-04-30,43,0.057770952917755226,in
2026-03-18,657.9335327148438,635.0,0.1178082191780822,0.03609999895095825,-0.05,42.61,2026-04-30,43,0.03611579955093504,in
2026-03-18,657.9335327148438,642.0,0.1178082191780822,0.03609999895095825,-0.05,37.015,2026-04-30,43,0.024818586783245715,in
